,DATE,FIRE_YEAR,DISCOVERY_DOY,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE
52,1992-02-29,1992,60,10.0,C,35.505,-80.125,NC
53,1992-02-29,1992,60,4.0,B,31.71967457,-89.56759384,MS
54,1992-03-01,1992,61,1.0,B,39.29074259,-80.33844826,WV
55,1992-03-01,1992,61,20.0,C,31.75429994,-89.36580489,MS
56,1992-03-02,1992,62,1.0,B,31.81945891,-89.17509439,MS
57,1992-03-03,1992,63,5.3,B,32.2183,-83.1252,GA
58,1992-03-03,1992,63,3.06,B,34.4639,-83.293,GA
59,1992-03-03,1992,63,0.16,A,31.7893,-81.5325,GA
60,1992-03-03,1992,63,10.0,C,31.31230497,-89.7072599,MS
61,1992-03-03,1992,63,65.0,C,37.11405323,-91.60944938,MO
62,1992-03-04,1992,64,14.0,C,30.34,-83.8,FL
63,1992-03-04,1992,64,0.1,A,32.89166667,-81.1125,SC
64,1992-03-04,1992,64,3.0,B,30.34694876,-89.47920401,MS
65,1992-03-04,1992,64,3.59,B,34.2757,-84.7369,GA
66,1992-03-06,1992,66,0.1,A,26.00074,-81.03291,FL
67,1992-03-08,1992,68,15.0,C,33.01260773,-88.59583243,MS
68,1992-03-09,1992,69,1.0,B,32.92916667,-80.40416667,SC
69,1992-03-09,1992,69,1.0,B,36.555,-81.6517,NC
70,1992-03-12,1992,72,2.0,B,35.15269863,-95.51570126,OK
71,1992-03-13,1992,73,4.68,B,31.6525,-82.6586,GA
72,1992-03-13,1992,73,0.5,B,33.40833333,-81.675,SC
73,1992-03-13,1992,73,0.25,A,32.2024002,-104.72460174,NM
74,1992-03-14,1992,74,22.0,C,37.07073681,-91.64631381,MO
75,1992-03-15,1992,75,4.94,B,32.3726,-83.0456,GA
76,1992-03-15,1992,75,5.0,B,30.32,-82.55805556,FL
77,1992-03-15,1992,75,24.0,C,32.4754,-82.9249,GA
78,1992-03-16,1992,76,1.0,B,32.47916667,-80.75833333,SC
79,1992-03-16,1992,76,6.0,B,31.07440051,-89.58444038,MS
80,1992-03-16,1992,76,0.25,A,40.675,-74.95833,NJ
81,1992-03-17,1992,77,8.0,B,35.0917,-77.9583,NC
82,1992-03-17,1992,77,7.0,B,32.29166667,-81.0625,SC
83,1992-03-17,1992,77,3.0,B,30.64,-85.16,FL
84,1992-03-17,1992,77,15.0,C,33.475,-79.70833333,SC
85,1992-03-17,1992,77,1.5,B,33.8875,-80.29166667,SC
86,1992-03-17,1992,77,30.0,C,38.31675771,-93.28754784,MO
87,1992-03-17,1992,77,60.0,C,31.02848576,-90.0715145,MS
88,1992-03-17,1992,77,1.27,B,32.0467,-82.2967,GA
89,1992-03-17,1992,77,0.2,A,34.7583,-79.415,NC
90,1992-03-17,1992,77,75.0,C,37.21333333,-83.48166667,KY
91,1992-03-20,1992,80,0.35,B,32.6471,-83.9137,GA
92,1992-03-20,1992,80,1.0,B,35.0334,-107.4173,NM
93,1992-03-22,1992,82,5.0,B,33.35833333,-80.15416667,SC
94,1992-03-22,1992,82,0.5,B,43.58333178,-70.7333286,ME
95,1992-03-22,1992,82,25.0,C,32.475,-81.05833333,SC
96,1992-03-23,1992,83,1.1,B,47.36602,-123.04418,WA
97,1992-03-24,1992,84,1.0,B,33.525,-79.6875,SC
98,1992-03-25,1992,85,3.0,B,30.33,-83.68,FL
99,1992-03-27,1992,87,4.1,B,48.9125,-99.8499,ND
100,1992-03-27,1992,87,5.1,B,42.66788,-121.84834,OR
101,1992-03-29,1992,89,0.2,A,35.965,-81.67666667,NC
102,1992-03-30,1992,90,0.5,B,27.77,-81.7,FL
103,1992-03-30,1992,90,1.5,B,34.65980093,-95.57630147,OK
104,1992-03-31,1992,91,2.0,B,33.45833333,-80.54583333,SC
105,1992-04-02,1992,93,0.1,A,43.28833333,-121.20166667,OR
106,1992-04-02,1992,93,17.5,C,30.7951,-81.5815,GA
107,1992-04-03,1992,94,0.5,B,47.364872,-91.170594,MN
108,1992-04-04,1992,95,0.5,B,47.8666,-95.0503,MN
109,1992-04-04,1992,95,3.0,B,33.225,-80.25416667,SC
110,1992-04-04,1992,95,12.0,C,33.24166667,-80.50833333,SC
111,1992-04-04,1992,95,6.0,B,33.7625,-80.3125,SC
112,1992-04-04,1992,95,2.0,B,33.10833333,-80.15833333,SC
113,1992-04-04,1992,95,0.1,A,64.833335,-147.516662,AK
114,1992-04-04,1992,95,0.2,A,34.40833333,-79.42916667,SC
115,1992-04-05,1992,96,2.41,B,31.8921,-81.3906,GA
116,1992-04-05,1992,96,3.0,B,32.69166667,-81.00833333,SC
117,1992-04-05,1992,96,3.0,B,45.983877,-94.658252,MN
118,1992-04-06,1992,97,2.0,B,30.11,-82.02,FL
119,1992-04-06,1992,97,0.5,B,40.43537,-107.25261,CO
120,1992-04-06,1992,97,2.0,B,33.84166667,-79.27916667,SC
121,1992-04-06,1992,97,65.0,C,43.61445392,-89.6070723,WI
122,1992-04-08,1992,99,1.0,B,34.02916667,-79.9625,SC
123,1992-04-08,1992,99,1.0,B,42.06481,-78.347275,NY
124,1992-04-09,1992,100,0.1,A,48.43666667,-114.05833333,MT
125,1992-04-09,1992,100,0.75,B,44.2081909,-104.81140142,WY
126,1992-04-09,1992,100,8.0,B,33.47916667,-80.4625,SC
127,1992-04-09,1992,100,0.5,B,43.0025,-108.7729,WY
128,1992-04-10,1992,101,0.25,A,40.11666,-74.1375,NJ
129,1992-04-10,1992,101,5.0,B,34.9366587,-88.7067918,MS
130,1992-04-10,1992,101,20.0,C,40.83576,-106.24858,CO
131,1992-04-11,1992,102,0.1,A,27.24,-80.79,FL
132,1992-04-11,1992,102,0.1,A,35.415,-79.1417,NC
133,1992-04-13,1992,104,3.0,B,38.12514216,-82.36091431,WV
134,1992-04-13,1992,104,0.5,B,37.30597879,-81.08677668,WV
135,1992-04-13,1992,104,130.0,D,37.76829975,-82.14937005,WV
136,1992-04-14,1992,105,0.5,B,34.73666667,-83.22,SC
137,1992-04-14,1992,105,0.5,B,40.88334,-74.62083,NJ
138,1992-04-15,1992,106,7.0,B,36.85909701,-92.86270302,MO
139,1992-04-17,1992,108,0.3,B,44.8833,-88.6334,WI
140,1992-04-17,1992,108,10.0,C,46.970058,-95.383807,MN
141,1992-04-17,1992,108,1.0,B,35.0917,-79.3617,NC
142,1992-04-17,1992,108,1.0,B,34.8317,-79.8017,NC
143,1992-04-17,1992,108,2.0,B,33.70833333,-79.75833333,SC
144,1992-04-18,1992,109,0.5,B,29.82,-82.29,FL
145,1992-04-21,1992,112,0.5,B,40.15834,-74.35416,NJ
146,1992-04-25,1992,116,0.5,B,39.375,-121.305,CA
147,1992-04-28,1992,119,4.7,B,44.78766604,-89.03997872,WI
148,1992-04-29,1992,120,0.5,B,44.25000034,-69.68333583,ME
149,1992-05-01,1992,122,0.15,A,43.35282923,-89.68243289,WI
150,1992-05-01,1992,122,2.0,B,38.05422822,-82.16723135,WV
151,1992-05-01,1992,122,0.2,A,44.39765415,-89.20611046,WI
152,1992-05-02,1992,123,4.2,B,44.30705062,-89.27740223,WI
153,1992-05-02,1992,123,2.0,B,33.475,-81.04166667,SC
154,1992-05-02,1992,123,2.0,B,33.30833333,-79.32083333,SC
155,1992-05-02,1992,123,0.2,A,33.0664,-111.6671,AZ
156,1992-05-03,1992,124,10.0,C,21.5478306,-158.1573029,HI
157,1992-05-03,1992,124,2.0,B,28.12,-82.41,FL
158,1992-05-03,1992,124,5.0,B,47.9833,-98.8837,ND
159,1992-05-04,1992,125,0.4,B,35.655,-77.735,NC
160,1992-05-04,1992,125,0.2,A,40.1166,-120.1844,CA
161,1992-05-05,1992,126,20.0,C,46.36344997,-94.76866919,MN
162,1992-05-05,1992,126,0.49,B,32.904,-83.3757,GA
163,1992-05-05,1992,126,0.1,A,43.38646275,-89.53894139,WI
164,1992-05-05,1992,126,1.0,B,46.39818927,-84.24898625,MI
165,1992-05-06,1992,127,0.1,A,36.10166667,-118.74166667,CA
166,1992-05-06,1992,127,0.3,B,31.06,-89.23833333,MS
167,1992-05-06,1992,127,2.0,B,46.25,-85.95,MI
168,1992-05-07,1992,128,1.0,B,31.12918729,-90.41051118,MS
169,1992-05-07,1992,128,10.0,C,31.19797679,-90.67017319,MS
170,1992-05-07,1992,128,3.0,B,46.3499,-111.6675,MT
171,1992-05-07,1992,128,0.1,A,41.4,-121.5,CA
172,1992-05-07,1992,128,0.1,A,42.26,-121.06666667,OR
173,1992-05-09,1992,130,0.2,A,33.78015649,-112.12452315,AZ
174,1992-05-09,1992,130,0.4,B,41.61552,-87.19971,IN
175,1992-05-10,1992,131,0.3,B,28.85,-81.8,FL
176,1992-05-10,1992,131,0.1,A,45.26761495,-84.7431515,MI
177,1992-05-10,1992,131,101.0,D,46.34118156,-93.04325979,MN
178,1992-05-13,1992,134,1.0,B,33.78423081,-89.76858675,MS
179,1992-05-13,1992,134,0.1,A,39.5833,-107.4506,CO
180,1992-05-14,1992,135,45.0,C,44.7332,-122.4012,OR
181,1992-05-14,1992,135,0.1,A,38.97677,-105.10054,CO
182,1992-05-15,1992,136,3.0,B,35.0183,-79.1683,NC
183,1992-05-15,1992,136,5.0,B,36.83,-119.56388888,CA
184,1992-05-16,1992,137,0.1,A,42.54421,-122.56393,OR
185,1992-05-16,1992,137,0.5,B,30.0,-84.3906,FL
186,1992-05-17,1992,138,0.1,A,36.04819,-112.11805,AZ
187,1992-05-17,1992,138,0.1,A,37.09305555,-121.57305555,CA
188,1992-05-17,1992,138,0.1,A,41.35,-121.37805555,CA
189,1992-05-17,1992,138,0.1,A,41.48333333,-121.4,CA
190,1992-05-18,1992,139,0.1,A,40.19333333,-122.92166667,CA
191,1992-05-19,1992,140,0.1,A,45.91,-115.96333333,ID
192,1992-05-20,1992,141,0.1,A,38.35194444,-122.25194444,CA
193,1992-05-21,1992,142,5.0,B,28.63333333,-80.78333333,FL
194,1992-05-22,1992,143,6.0,B,34.09583333,-82.525,SC
195,1992-05-23,1992,144,2.0,B,34.8617,-78.6417,NC
196,1992-05-24,1992,145,340.0,E,28.17,-81.15,FL
197,1992-05-24,1992,145,63.0,C,30.5369,-87.0931,FL
198,1992-05-24,1992,145,0.1,A,41.08666667,-122.95333333,CA
199,1992-05-24,1992,145,4.0,B,46.166114,-92.959818,MN
200,1992-05-25,1992,146,74.82,C,30.6414,-83.2799,GA
201,1992-05-25,1992,146,0.1,A,30.13,-84.52,FL
202,1992-05-25,1992,146,4.0,B,34.76,-83.42166667,GA
203,1992-05-26,1992,147,0.2,A,29.33,-81.13,FL
204,1992-05-28,1992,149,20.0,C,28.14,-81.64,FL
205,1992-05-28,1992,149,2.0,B,44.35645176,-83.97383767,MI
206,1992-05-29,1992,150,0.2,A,36.37805555,-119.34,CA
207,1992-05-30,1992,151,2.0,B,62.816,-155.0023,AK
208,1992-05-30,1992,151,3.5,B,32.61370421,-111.34753755,AZ
209,1992-05-31,1992,152,0.2,A,27.1,-82.34,FL
210,1992-06-01,1992,153,0.3,B,36.2833,-109.1007,AZ
211,1992-06-02,1992,154,0.2,A,48.53333333,-117.6,WA
212,1992-06-02,1992,154,0.1,A,37.12305555,-121.05888888,CA
213,1992-06-02,1992,154,0.1,A,36.05888888,-118.99,CA
214,1992-06-03,1992,155,15.0,C,33.87166667,-111.26666667,AZ
215,1992-06-04,1992,156,4.0,B,39.3625,-75.14166,NJ
216,1992-06-04,1992,156,0.1,A,36.01486,-112.15001,AZ
217,1992-06-05,1992,157,1.0,B,35.01666667,-111.71666667,AZ
218,1992-06-06,1992,158,332.0,E,32.62752212,-111.63974491,AZ
219,1992-06-08,1992,160,0.2,A,36.33333333,-118.33333333,CA
220,1992-06-09,1992,161,0.1,A,38.93333333,-120.66666667,CA
221,1992-06-09,1992,161,0.1,A,47.28648,-113.59908,MT
222,1992-06-12,1992,164,0.1,A,44.49,-116.12333333,ID
223,1992-06-12,1992,164,0.5,B,36.31833333,-118.245,CA
224,1992-06-13,1992,165,0.9,B,44.0919877,-89.36294764,WI
225,1992-06-13,1992,165,2.0,B,37.25,-120.26111111,CA
226,1992-06-16,1992,168,4.0,B,37.74611111,-120.47111111,CA
227,1992-06-17,1992,169,0.1,A,40.67166667,-123.41666667,CA
228,1992-06-17,1992,169,0.1,A,40.2166,-108.734,CO
229,1992-06-18,1992,170,1.0,B,36.71694444,-121.26194444,CA
230,1992-06-19,1992,171,0.1,A,61.599998,-149.683334,AK
231,1992-06-20,1992,172,1.0,B,43.2666,-115.9009,ID
232,1992-06-21,1992,173,0.01,A,42.55484,-123.16852,OR
233,1992-06-22,1992,174,0.1,A,36.94611111,-120.02694444,CA
234,1992-06-22,1992,174,0.3,B,33.72194444,-116.95305555,CA
235,1992-06-22,1992,174,1.0,B,42.01833333,-123.1,OR
236,1992-06-23,1992,175,0.1,A,34.22833333,-116.95333333,CA
237,1992-06-24,1992,176,2.5,B,34.50833333,-110.83333333,AZ
238,1992-06-24,1992,176,0.1,A,41.72,-122.275,CA
239,1992-06-24,1992,176,0.1,A,41.75298,-121.49871,CA
240,1992-06-24,1992,176,0.1,A,43.86388889,-122.025,OR
241,1992-06-25,1992,177,6985.0,G,48.1282,-119.2461,WA
242,1992-06-25,1992,177,0.2,A,43.94111111,-121.37638889,OR
243,1992-06-26,1992,178,0.2,A,46.068493,-116.141072,ID
244,1992-06-26,1992,178,0.3,B,45.77166667,-117.11666667,OR
245,1992-06-28,1992,180,0.2,A,33.73611111,-117.075,CA
246,1992-06-29,1992,181,0.1,A,44.61991,-117.64446,OR
247,1992-06-29,1992,181,0.75,B,39.6875,-74.29583,NJ
248,1992-06-29,1992,181,0.1,A,36.1,-105.5,NM
249,1992-07-01,1992,183,1.0,B,33.0167,-111.584,AZ
250,1992-07-02,1992,184,0.5,B,40.86111111,-121.89,CA
251,1992-07-04,1992,186,0.5,B,34.30833333,-79.89166667,SC
252,1992-07-04,1992,186,0.1,A,40.06651,-105.19754,CO
253,1992-07-04,1992,186,0.1,A,45.12333333,-119.38166667,OR
254,1992-07-04,1992,186,0.5,B,46.0348,-120.4595,WA
255,1992-07-04,1992,186,0.1,A,36.685,-119.72611111,CA
256,1992-07-05,1992,187,1.0,B,34.375,-82.275,SC
257,1992-07-05,1992,187,0.01,A,46.74293,-111.87563,MT
258,1992-07-06,1992,188,1.0,B,35.62305555,-120.54194444,CA
259,1992-07-06,1992,188,0.3,B,29.3,-81.13,FL
260,1992-07-07,1992,189,0.01,A,48.40059,-114.9447,MT
261,1992-07-08,1992,190,0.1,A,47.99743,-117.28159,WA
262,1992-07-09,1992,191,0.1,A,47.68666667,-91.83833333,MN
263,1992-07-09,1992,191,0.2,A,34.28666667,-110.92166667,AZ
264,1992-07-11,1992,193,0.1,A,38.59111111,-120.86111111,CA
265,1992-07-11,1992,193,1.0,B,34.14166667,-79.05833333,SC
266,1992-07-13,1992,195,1.0,B,38.99194444,-121.16194444,CA
267,1992-07-13,1992,195,0.1,A,37.16388888,-120.48194444,CA
268,1992-07-13,1992,195,0.1,A,33.0667,-111.734,AZ
269,1992-07-14,1992,196,0.25,A,39.49167,-74.49583,NJ
270,1992-07-17,1992,199,0.1,A,39.53666667,-121.14305556,CA
271,1992-07-17,1992,199,2007.0,F,43.9832,-116.1843,ID
272,1992-07-17,1992,199,0.1,A,42.01833333,-123.23666667,OR
273,1992-07-17,1992,199,3.0,B,39.00194444,-122.50888888,CA
274,1992-07-17,1992,199,0.1,A,41.43833333,-121.005,CA
275,1992-07-17,1992,199,0.1,A,41.32666667,-121.95,CA
276,1992-07-18,1992,200,0.1,A,47.05833333,-114.39833333,MT
277,1992-07-19,1992,201,0.1,A,48.58166667,-120.15666667,WA
278,1992-07-19,1992,201,0.5,B,36.78694444,-119.54611111,CA
279,1992-07-20,1992,202,0.1,A,47.30833333,-113.57166667,MT
280,1992-07-20,1992,202,0.1,A,41.2666,-113.9342,UT
281,1992-07-20,1992,202,0.25,A,44.27131,-121.50595,OR
282,1992-07-20,1992,202,0.1,A,40.6333,-112.9175,UT
283,1992-07-21,1992,203,0.1,A,44.13361111,-121.65805556,OR
284,1992-07-21,1992,203,0.1,A,37.335,-119.15833333,CA
285,1992-07-22,1992,204,0.1,A,47.047607,-91.656815,MN
286,1992-07-24,1992,206,7.0,B,68.5998,-141.0527,AK
287,1992-07-25,1992,207,0.1,A,44.08027778,-114.82333333,ID
288,1992-07-27,1992,209,0.4,B,33.0834,-111.684,AZ
289,1992-07-27,1992,209,5.0,B,44.45,-104.56833333,WY
290,1992-07-28,1992,210,0.2,A,39.44666667,-121.04611111,CA
291,1992-07-29,1992,211,0.1,A,40.6333,-109.1007,UT
292,1992-07-29,1992,211,0.3,B,39.5666,-107.4339,CO
293,1992-07-30,1992,212,0.01,A,46.250686,-94.240581,MN
294,1992-07-30,1992,212,0.1,A,35.315,-80.115,NC
295,1992-07-31,1992,213,0.2,A,34.19166667,-109.78333333,AZ
296,1992-07-31,1992,213,0.3,B,47.79666667,-115.11333333,MT
297,1992-07-31,1992,213,1.0,B,27.54,-80.42,FL
298,1992-08-01,1992,214,0.3,B,37.07694444,-120.19194444,CA
299,1992-08-02,1992,215,1.0,B,35.195,-77.6217,NC
300,1992-08-02,1992,215,0.1,A,36.55455,-118.34817,CA
301,1992-08-04,1992,217,0.1,A,42.78823,-123.251,OR
302,1992-08-07,1992,220,2.0,B,40.68805555,-122.87194444,CA
303,1992-08-10,1992,223,25.0,C,38.92111111,-121.015,CA
304,1992-08-12,1992,225,0.1,A,35.63333333,-75.88333333,NC
305,1992-08-12,1992,225,0.1,A,33.145,-116.64111111,CA
306,1992-08-13,1992,226,0.1,A,41.6333,-109.2507,WY
307,1992-08-13,1992,226,0.1,A,47.09833333,-116.11666667,ID
308,1992-08-14,1992,227,0.2,A,43.5165,-119.6511,OR
309,1992-08-14,1992,227,0.1,A,40.82388888,-120.77694444,CA
310,1992-08-14,1992,227,0.1,A,40.95611111,-120.78805555,CA
311,1992-08-15,1992,228,0.1,A,40.8999,-119.951,CA
312,1992-08-16,1992,229,1.0,B,42.75333333,-121.67333333,OR
313,1992-08-16,1992,229,0.1,A,38.87166667,-119.99666667,CA
314,1992-08-16,1992,229,0.5,B,35.8,-113.0174,AZ
315,1992-08-16,1992,229,1.5,B,44.6498,-121.4845,OR
316,1992-08-17,1992,230,0.5,B,45.08833333,-114.775,ID
317,1992-08-17,1992,230,1.2,B,36.77333333,-112.11666667,AZ
318,1992-08-18,1992,231,0.2,A,40.525,-109.9963,UT
319,1992-08-19,1992,232,2.0,B,44.44994,-110.05075,WY
320,1992-08-19,1992,232,0.2,A,44.695,-115.835,ID
321,1992-08-20,1992,233,0.3,B,47.56833333,-115.25,MT
322,1992-08-21,1992,234,0.1,A,46.12627,-123.93646,OR
323,1992-08-26,1992,239,0.1,A,37.31166667,-118.85833333,CA
324,1992-08-29,1992,242,0.1,A,40.33,-120.91694444,CA
325,1992-08-29,1992,242,0.1,A,43.5667,-102.3504,SD
326,1992-08-29,1992,242,0.1,A,38.65666667,-119.9,CA
327,1992-08-31,1992,244,0.5,B,43.82833333,-115.85166667,ID
328,1992-08-31,1992,244,0.3,B,47.90724,-120.10161,WA
329,1992-09-01,1992,245,0.3,B,35.9166,-117.9009,CA
330,1992-09-02,1992,246,0.01,A,42.60856,-122.62177,OR
331,1992-09-03,1992,247,0.1,A,41.67833333,-120.31333333,CA
332,1992-09-04,1992,248,0.25,A,42.85861972,-106.36969757,WY
333,1992-09-05,1992,249,160.0,D,32.1834,-104.5838,NM
334,1992-09-07,1992,251,0.1,A,46.09666667,-117.81333333,WA
335,1992-09-07,1992,251,1.0,B,35.30111111,-120.79805555,CA
336,1992-09-11,1992,255,0.1,A,41.33333333,-122.73666667,CA
337,1992-09-17,1992,261,0.1,A,47.9999,-118.2094,WA
338,1992-09-17,1992,261,0.5,B,36.63888888,-120.25111111,CA
339,1992-09-18,1992,262,0.1,A,40.74855,-109.26708,UT
340,1992-09-18,1992,262,0.1,A,36.77833333,-119.06666667,CA
341,1992-09-18,1992,262,0.2,A,40.92111111,-121.62194444,CA
342,1992-09-24,1992,268,0.1,A,47.6,-102.0004,ND
343,1992-09-24,1992,268,0.01,A,44.12908548,-90.53384781,WI
344,1992-09-25,1992,269,0.3,B,38.84805555,-121.10805555,CA
345,1992-09-26,1992,270,957.0,E,47.4999,-119.3845,WA
346,1992-09-27,1992,271,1.0,B,33.34000015,-105.70010375,NM
347,1992-09-27,1992,271,0.5,B,38.84888888,-122.75111111,CA
348,1992-09-29,1992,273,5.0,B,42.8999,-111.6675,ID
349,1992-10-04,1992,278,2.0,B,30.92708,-93.60625,TX
350,1992-10-05,1992,279,0.1,A,39.76194444,-121.87111111,CA
351,1992-10-07,1992,281,0.1,A,38.81666667,-120.15833333,CA
352,1992-10-08,1992,282,2.0,B,30.53542,-93.85208,TX
353,1992-10-10,1992,284,0.1,A,33.54611111,-117.16194444,CA
354,1992-10-11,1992,285,1.5,B,34.31666667,-117.845,CA
355,1992-10-12,1992,286,5.0,B,30.32404,-93.86346,TX
356,1992-10-12,1992,286,0.5,B,37.42833333,-119.60333333,CA
357,1992-10-13,1992,287,2.0,B,30.97292,-93.73541,TX
358,1992-10-14,1992,288,0.1,A,19.4167,-155.1667,HI
359,1992-10-18,1992,292,0.1,A,40.46666667,-111.12166667,UT
360,1992-10-19,1992,293,1.8,B,35.28833333,-111.675,AZ
361,1992-10-21,1992,295,0.2,A,34.275,-77.965,NC
362,1992-10-21,1992,295,10.0,C,48.162,-104.7202,MT
363,1992-10-22,1992,296,1.0,B,30.31042,-94.53799,TX
364,1992-10-22,1992,296,0.1,A,33.6167,-109.734,AZ
365,1992-10-24,1992,298,0.42,B,34.8758,-85.0531,GA
366,1992-10-24,1992,298,0.1,A,35.34666667,-111.53333333,AZ
367,1992-10-25,1992,299,0.5,B,48.1565,-118.9878,WA
368,1992-10-28,1992,302,3.0,B,37.60451643,-92.67722868,MO
369,1992-11-01,1992,306,0.2,A,28.98,-82.64,FL
370,1992-11-10,1992,315,0.5,B,30.85,-85.35,FL
371,1992-11-16,1992,321,0.2,A,28.0,-81.97,FL
372,1992-11-19,1992,324,110.0,D,37.70733851,-90.21013727,MO
373,1992-11-20,1992,325,0.1,A,33.73611111,-117.12694444,CA
374,1992-11-20,1992,325,1.0,B,35.415,-78.975,NC
375,1992-11-23,1992,328,507.0,E,32.2335,-103.6338,NM
376,1992-11-25,1992,330,0.1,A,33.53833333,-110.92166667,AZ
377,1992-11-30,1992,335,4.0,B,34.23799851,-95.14270035,OK
378,1992-12-02,1992,337,3.0,B,35.0125,-82.69583333,SC
379,1992-12-03,1992,338,0.15,A,32.1154,-82.9023,GA
380,1992-12-04,1992,339,5.0,B,46.14173,-123.94471,OR
381,1992-12-08,1992,343,0.1,A,43.2583,-100.8657,SD
382,1992-12-10,1992,345,15.0,C,31.07121348,-89.60586281,MS
383,1992-12-12,1992,347,0.3,B,33.90833333,-81.15833333,SC
384,1992-12-16,1992,351,0.1,A,32.4625,-81.00833333,SC
385,1992-12-19,1992,354,5.0,B,27.53,-80.8,FL
386,1992-12-23,1992,358,0.1,A,35.8464,-106.2506,NM
387,1992-12-23,1992,358,3.0,B,37.3521219,-92.4251739,MO
388,1993-01-06,1993,6,0.8,B,28.69,-81.4,FL
389,1993-01-26,1993,26,2.0,B,32.80833333,-79.89166667,SC
390,1993-01-28,1993,28,5.12,B,30.8816,-84.115,GA
391,1993-01-29,1993,29,2.0,B,30.94078779,-89.16522802,MS
392,1993-01-30,1993,30,0.1,A,35.0183,-80.7183,NC
393,1993-01-30,1993,30,1.0,B,32.95833333,-80.4875,SC
394,1993-01-31,1993,31,10.0,C,33.70416667,-81.00833333,SC
395,1993-01-31,1993,31,7.0,B,34.965,-79.9317,NC
396,1993-01-31,1993,31,0.1,A,34.17083333,-79.7625,SC
397,1993-02-01,1993,32,4.0,B,35.0117,-79.0383,NC
398,1993-02-02,1993,33,0.07,A,31.67,-83.7143,GA
399,1993-02-02,1993,33,4.0,B,30.91259508,-88.81492787,MS
